branch-lex vs baseline  (paired tasks: moon 20, httpx 20, hono 20)
| metric | moon | httpx | hono | pooled (ratio of sums) | pooled (repo-balanced) |
|---|---|---|---|---|---|
| code-reading tokens | -39.7% [-50.7, -26.1] 18/20 | -29.6% [-41.7, -17.4] 16/20 | -21.3% [-37.5, -5.8] 14/20 | **-33.1%** [-41.0, -24.6] 48/60 | -30.2% [-37.9, -22.5] |
| reading+injected tokens | -9.8% [-23.2, +6.4] 15/20 | +27.6% [+12.9, +45.3] 4/20 | +32.0% [+15.9, +51.1] 4/20 | **+8.3%** [-1.5, +18.8] 23/60 | +16.6% [+7.9, +26.5] |
| total input tokens | -21.8% [-31.3, -12.1] 17/20 | -10.2% [-18.9, -1.2] 16/20 | -11.8% [-22.6, -1.2] 13/20 | **-16.8%** [-23.1, -10.6] 46/60 | -14.6% [-20.5, -9.0] |
| wall seconds | -16.2% [-21.5, -10.9] 17/20 | -8.2% [-12.1, -3.5] 17/20 | -11.5% [-16.7, -5.8] 17/20 | **-12.4%** [-15.5, -9.3] 51/60 | -12.0% [-14.9, -9.0] |
| turns | -31.3% [-39.9, -22.3] 17/20 | -24.7% [-32.3, -17.1] 17/20 | -30.2% [-37.6, -22.7] 19/20 | **-29.0%** [-33.8, -24.4] 53/60 | -28.7% [-33.3, -24.2] |
| cost usd | -13.7% [-18.9, -8.5] 18/20 | -2.3% [-9.1, +4.1] 10/20 | -1.8% [-9.5, +5.5] 11/20 | **-8.3%** [-12.1, -4.5] 39/60 | -5.9% [-9.8, -2.3] |
| output tokens | -18.2% [-24.5, -12.1] 19/20 | -10.1% [-15.7, -3.1] 15/20 | -14.0% [-20.1, -7.8] 17/20 | **-14.7%** [-18.5, -11.1] 51/60 | -14.1% [-17.7, -10.4] |
| answer recall (turn 1) | 0.933 vs 0.938 (-0.004 [-0.083, +0.075]) | 0.867 vs 0.667 (+0.200 [+0.100, +0.300]) | 0.942 vs 0.717 (+0.225 [+0.125, +0.325]) | 0.914 vs 0.774 (**+0.140** [+0.085, +0.200]) |  |
| answer recall (both turns) | 0.950 vs 1.000 (-0.050 [-0.125, +0.000]) | 0.933 vs 0.933 (+0.000 [+0.000, +0.000]) | 1.000 vs 0.971 (+0.029 [+0.000, +0.075]) | 0.961 vs 0.968 (**-0.007** [-0.033, +0.017]) |  |
