branch vs branch-lex  (paired tasks: moon 20, httpx 20, hono 20)
| metric | moon | httpx | hono | pooled (ratio of sums) | pooled (repo-balanced) |
|---|---|---|---|---|---|
| code-reading tokens | -7.1% [-25.0, +14.3] 10/20 | +7.4% [-9.2, +31.1] 8/20 | -7.7% [-19.6, +5.4] 12/20 | **-3.8%** [-14.4, +7.9] 30/60 | -2.5% [-11.8, +8.7] |
| reading+injected tokens | -7.2% [-20.0, +7.3] 12/20 | +4.7% [-3.7, +15.2] 7/20 | -5.1% [-12.5, +2.8] 12/20 | **-3.5%** [-10.2, +3.8] 31/60 | -2.5% [-8.3, +3.8] |
| total input tokens | -12.3% [-23.0, +0.1] 14/20 | -1.4% [-11.1, +8.5] 5/20 | -6.1% [-15.2, +4.6] 12/20 | **-8.1%** [-14.5, -1.0] 31/60 | -6.6% [-12.4, -0.3] |
| wall seconds | -1.0% [-8.0, +6.1] 10/20 | +5.8% [+0.6, +10.7] 4/20 | -0.8% [-7.2, +6.4] 11/20 | **+1.1%** [-2.6, +4.9] 25/60 | +1.4% [-2.2, +5.0] |
| turns | -12.4% [-25.4, +1.4] 11/20 | +2.2% [-6.8, +11.6] 4/20 | -0.7% [-10.7, +10.9] 8/20 | **-4.3%** [-10.8, +2.6] 23/60 | -3.7% [-9.8, +3.1] |
| cost usd | -3.9% [-9.6, +2.5] 14/20 | +2.5% [-5.2, +11.0] 7/20 | -2.3% [-8.6, +4.5] 10/20 | **-2.0%** [-5.8, +2.1] 31/60 | -1.2% [-5.0, +2.9] |
| output tokens | -4.2% [-12.6, +4.2] 11/20 | +2.4% [-4.8, +9.1] 8/20 | -2.8% [-10.5, +6.3] 12/20 | **-1.9%** [-6.5, +2.8] 31/60 | -1.5% [-6.0, +3.1] |
| answer recall (turn 1) | 0.933 vs 0.933 (+0.000 [-0.100, +0.100]) | 0.850 vs 0.867 (-0.017 [-0.133, +0.067]) | 0.946 vs 0.942 (+0.004 [-0.037, +0.050]) | 0.910 vs 0.914 (**-0.004** [-0.057, +0.044]) |  |
| answer recall (both turns) | 1.000 vs 0.950 (+0.050 [+0.000, +0.125]) | 0.867 vs 0.933 (-0.067 [-0.183, +0.000]) | 0.988 vs 1.000 (-0.013 [-0.037, +0.000]) | 0.951 vs 0.961 (**-0.010** [-0.054, +0.025]) |  |
