branch vs baseline  (paired tasks: moon 20, httpx 20, hono 20)
| metric | moon | httpx | hono | pooled (ratio of sums) | pooled (repo-balanced) |
|---|---|---|---|---|---|
| code-reading tokens | -44.0% [-56.0, -29.9] 16/20 | -24.4% [-35.2, -10.3] 17/20 | -27.4% [-43.5, -10.1] 15/20 | **-35.7%** [-44.0, -26.8] 48/60 | -31.9% [-39.7, -23.5] |
| reading+injected tokens | -16.3% [-29.8, +1.3] 14/20 | +33.5% [+18.4, +53.2] 2/20 | +25.3% [+8.0, +47.0] 5/20 | **+4.6%** [-5.3, +16.1] 21/60 | +14.2% [+5.1, +25.1] |
| total input tokens | -31.4% [-41.3, -21.4] 19/20 | -11.5% [-19.8, -3.3] 15/20 | -17.2% [-29.2, -5.8] 15/20 | **-23.5%** [-30.1, -17.2] 49/60 | -20.0% [-26.0, -14.3] |
| wall seconds | -17.1% [-23.7, -10.5] 17/20 | -2.9% [-7.9, +2.2] 15/20 | -12.1% [-17.9, -6.0] 17/20 | **-11.4%** [-15.0, -7.9] 49/60 | -10.7% [-14.1, -7.2] |
| turns | -39.8% [-48.7, -31.1] 19/20 | -23.1% [-31.2, -14.3] 15/20 | -30.7% [-38.9, -22.8] 19/20 | **-32.1%** [-37.1, -27.1] 53/60 | -31.2% [-36.1, -26.2] |
| cost usd | -17.1% [-22.3, -11.2] 18/20 | +0.1% [-6.6, +7.3] 10/20 | -4.1% [-12.2, +3.9] 14/20 | **-10.1%** [-14.0, -6.1] 42/60 | -7.0% [-10.9, -3.0] |
| output tokens | -21.7% [-28.4, -14.8] 17/20 | -7.9% [-13.9, -1.7] 15/20 | -16.5% [-23.0, -9.3] 17/20 | **-16.3%** [-20.3, -12.3] 49/60 | -15.4% [-19.1, -11.4] |
| answer recall (turn 1) | 0.933 vs 0.938 (-0.004 [-0.083, +0.075]) | 0.850 vs 0.667 (+0.183 [+0.017, +0.325]) | 0.946 vs 0.717 (+0.229 [+0.125, +0.333]) | 0.910 vs 0.774 (**+0.136** [+0.067, +0.204]) |  |
| answer recall (both turns) | 1.000 vs 1.000 (+0.000 [+0.000, +0.000]) | 0.867 vs 0.933 (-0.067 [-0.183, +0.000]) | 0.988 vs 0.971 (+0.017 [+0.000, +0.050]) | 0.951 vs 0.968 (**-0.017** [-0.056, +0.011]) |  |
